,Name,StandDev,LastClosingVal
0,AAL,10.957635792198436,51.4
1,AAPL,30.55681167696467,159.54
2,AAP,31.274462696143292,109.93
3,ABBV,13.730380067162383,113.62
4,ABC,16.315690058194182,94.22
5,ABT,5.860168568311945,58.67
6,ACN,22.1290305505929,155.15
7,ADBE,36.99777310547974,192.34
8,ADI,13.383630814638702,85.35
9,ADM,5.197069078924788,42.19
10,ADP,13.280746254628909,113.56
11,ADSK,23.60206133176957,110.54
12,ADS,37.21375546514156,246.75
13,AEE,8.103548837206317,53.19
14,AEP,8.863598995539746,64.45
15,AES,1.487179557084991,10.48
16,AET,33.86906094502128,181.49
17,AFL,8.820823784419902,85.6
18,AGN,59.02634983031453,170.39
19,AIG,6.678354356273753,60.47
20,AIV,6.04872763511726,39.21
21,AIZ,16.620759834455235,88.49
22,AJG,6.5340431037344455,66.11
23,AKAM,9.913879701580473,64.48
24,ALB,24.30606044143463,106.63
25,ALGN,53.71322736111622,234.33
26,ALK,20.008780521501023,64.23
27,ALLE,11.168265286687156,79.96
28,ALL,14.19712457178645,96.87
29,ALXN,29.230294072399754,117.15
30,AMAT,11.665815181671901,48.69
31,AMD,3.9717789598496767,11.6
32,AME,7.353821534987915,74.16
33,AMGN,25.636371540506794,177.47
34,AMG,25.51072040514446,187.87
35,AMP,22.64534495993992,160.11
36,AMT,20.22433904755873,140.0
37,AMZN,282.5003950335223,1416.78
38,ANDV,19.45417355887692,100.62
39,ANSS,19.632194123474726,155.03
40,ANTM,40.54382034234014,238.44
41,AON,22.290383517050593,140.55
42,AOS,13.361741183670299,62.72
43,APA,18.195555054010605,39.55
44,APC,19.739381602166034,58.72
45,APD,19.795805744038802,158.21
46,APH,14.202361428386116,88.28
47,APTV,4.147473434266849,93.69
48,ARE,19.339665021899144,118.96
49,ARNC,8.462662055318107,25.1
50,ATVI,15.946506816909338,69.46
51,AVB,22.329664920211698,158.28
52,AVGO,71.41622240006726,237.38
53,AVY,19.55524929743486,114.78
54,AWK,15.608452632414231,77.96
55,AXP,10.89406490826971,93.61
56,AYI,55.852071613967375,148.07
57,AZO,130.74959678201301,728.33
58,A,9.229803678416987,68.06
59,BAC,4.586718247279355,31.25
60,BAX,13.241904098179766,65.55
61,BA,49.77993551785738,348.12
62,BBT,5.196626627175077,53.82
63,BBY,11.409307019381869,71.26
64,BDX,36.30696431954162,221.92
65,BEN,7.328371421582979,39.44
66,BF.B,7.065456533842555,65.08
67,BHF,3.8804076971531334,59.0
68,BHGE,3.0991722435723674,28.81
69,BIIB,53.725111241961415,326.89
70,BK,7.3387455710303495,55.34
71,BLK,62.336884269486845,532.26
72,BLL,6.017479414111073,39.33
73,BMY,8.625389152804036,62.63
74,BRK.B,24.076494870536468,200.37
75,BSX,6.18092635931121,26.32
76,BWA,9.942466275617399,55.0
77,BXP,10.80446162019471,115.34
78,CAG,4.9662541501386395,35.89
79,CAH,12.423541149029312,65.14
80,CAT,19.604490350718162,154.34
81,CA,2.430372191812932,34.0
82,CBG,5.588509859160259,42.54
83,CBOE,20.81825679858642,114.565
84,CBS,6.40175384242702,53.44
85,CB,18.502589836799885,147.52
86,CCI,11.099320639116511,108.75
87,CCL,10.351193061385258,69.12
88,CDNS,8.544344610205734,38.57
89,CELG,22.319062291373882,95.16
90,CERN,7.6059993994605755,63.48
91,CFG,6.753440716542039,44.84
92,CF,11.433372200629954,39.48
93,CHD,7.106941753998805,47.37
94,CHK,9.296514838569529,2.89
95,CHRW,8.294060523848733,92.57
96,CHTR,83.63699908227731,363.55
97,CINF,11.418927906301702,72.63
98,CI,38.490974945988896,195.44
99,CLX,19.634200073025443,127.82
100,CL,4.963410180717712,70.17
101,CMA,13.955810625812516,93.58
102,CMCSA,5.825675381951774,40.15
103,CME,22.705902229882053,159.93
104,CMG,130.28062354899413,272.21
105,CMI,21.17742804779664,172.74
106,CMS,7.287364918042449,42.16
107,CNC,21.931091647013996,104.38
108,CNP,3.2229197014617714,26.36
109,COF,10.021984481445207,98.12
110,COG,5.8872428637139365,23.37
111,COL,18.456850981194656,135.4
112,COO,38.3358126263209,230.47
113,COP,12.705755624128223,55.63
114,COST,22.735384714017005,183.19
115,COTY,4.820630142037584,17.48
116,CPB,7.005975976218407,44.8
117,CRM,17.01218180686846,110.05
118,CSCO,4.4363048040318205,40.34
119,CSRA,2.899260595272477,31.35
120,CSX,9.99293078429992,52.97
121,CTAS,31.661475873294226,156.6
122,CTL,6.488242931463664,17.06
123,CTSH,10.954547307753474,76.52
124,CTXS,10.069177102094567,87.6
125,CVS,15.298739253096858,74.35
126,CVX,12.855091388091505,115.29
127,CXO,18.00141954642036,148.1
128,C,8.674791160576024,74.99
129,DAL,10.878231325605329,53.85
130,DE,19.46213950414118,161.44
131,DFS,7.790373614978459,76.63
132,DGX,16.574973465276813,100.58
133,DG,12.149906967255841,97.88
134,DHI,7.184601168046154,46.29
135,DHR,9.661820544376127,95.25
136,DISCA,24.191738204738893,23.12
137,DISCK,21.950499535782253,21.95
138,DISH,9.760523745764072,45.1
139,DIS,16.81009198760893,104.76
140,DLR,22.541971314229805,104.17
141,DLTR,15.856570151898712,106.08
142,DOV,10.97388722582708,99.92
143,DPS,18.73651140693051,118.0
144,DRE,4.583934268642031,25.37
145,DRI,13.602799011792888,95.08
146,DTE,14.21386209714268,99.27
147,DUK,6.2430978714984535,74.4
148,DVA,7.609487605753781,74.66
149,DVN,14.121209322757904,36.76
150,DWDP,2.4888460864420607,70.6
151,DXC,8.807176380955461,96.08
152,D,6.471869416345333,73.76
153,EA,30.64901845346948,123.05
154,EBAY,12.586949475372556,42.33
155,ECL,13.755599500921758,133.12
156,ED,10.043098701051992,75.26
157,EFX,26.89682562603621,117.6
158,EIX,10.923268098983923,59.69
159,EL,15.080797414567575,134.71
160,EMN,7.794929269176974,98.98
161,EMR,6.5920031666337895,68.96
162,EOG,13.043975703940285,105.78
163,EQIX,95.21280494966273,426.08
164,EQR,7.7519917827302205,56.86
165,EQT,14.618220068916855,47.65
166,ESRX,9.157876891148051,74.95
167,ESS,34.663680685144946,217.81
168,ES,6.96211709264566,56.89
169,ETFC,9.49927010669314,51.55
170,ETN,7.52433764731338,81.62
171,ETR,6.777127917187441,72.77
172,EVHC,13.235438030258287,34.82
173,EW,29.90964426844728,129.7
174,EXC,3.3449059434058466,36.15
175,EXPD,6.791216672359486,62.13
176,EXPE,28.655438803401733,129.33
177,EXR,16.592720997447643,80.42
178,FAST,4.061991748384551,53.24
179,FBHS,9.707641331309782,63.4
180,FB,43.79944574627417,180.18
181,FCX,10.052138273642583,17.86
182,FDX,36.80158557150709,251.15
183,FE,3.3847911967325386,30.81
184,FFIV,18.496321098612107,141.39
185,FISV,27.720108468285442,129.17
186,FIS,15.67566665166673,96.77
187,FITB,3.848031019283023,32.34
188,FLIR,5.139254852939672,48.4
189,FLR,11.292793529589064,57.04
190,FLS,11.75814193191051,41.55
191,FL,13.647178040035605,48.01
192,FMC,15.254827031973994,83.97
193,FOXA,3.474844715313616,36.06
194,FOX,3.127202690761976,35.7
195,FRT,16.967234049057147,111.34
196,FTI,11.873105721110297,30.48
197,FTV,8.384140024948248,71.69
198,F,1.9572693567186246,10.76
199,GD,39.72001912017635,214.95
200,GE,3.3175592450333675,15.25
201,GGP,3.2222385429642277,21.97
202,GILD,18.16255970528369,82.76
203,GIS,5.626922424396702,54.65
204,GLW,5.171761991287718,29.82
205,GM,3.7778550381144482,42.39
206,GOOGL,187.57389185479744,1055.41
207,GOOG,166.42052902768188,1048.58
208,GPC,7.752672682491181,99.27
209,GPN,24.654800228670336,106.32
210,GPS,7.829191310059647,32.62
211,GRMN,7.857269296138294,63.08
212,GS,31.85965371477899,257.1
213,GT,5.893358245623068,33.47
214,GWW,25.97865744367129,259.89
215,HAL,8.856413166900943,49.69
216,HAS,19.127617064384545,102.22
217,HBAN,2.020135711221009,15.64
218,HBI,6.034804088960315,21.96
219,HCA,16.425312591659676,98.4
220,HCN,6.050478883418497,56.55
221,HCP,6.505178819668241,23.38
222,HD,32.080235556656504,191.29
223,HES,16.205930232064723,44.11
